id,filepath,average safety,average urgency,stretched_safety,stretched_urgency
0,acoustic_instrument_samples/Distorted_Electric_Guitar.wav,0.46666666666666656,0.3780160857908848,0.6950736927114879,0.5917122290008656
1,acoustic_instrument_samples/Electric_Guitar.wav,0.041025641025641005,-0.0026809651474530294,0.05661215424994952,0.020666652593358835
2,acoustic_instrument_samples/Electric_Piano.wav,-0.26153846153846155,-0.24932975871313662,-0.3972339995962043,-0.3493065377551665
3,acoustic_instrument_samples/Glockenspiel.wav,-0.9948717948717949,-0.7962466487935658,-0.990147385422976,-1.0493762006290768
4,acoustic_instrument_samples/Harp.wav,-0.7128205128205131,-0.7801608579088471,-0.990147385422976,-1.0493762006290768
5,acoustic_instrument_samples/Marimba.wav,-0.953846153846154,-0.7747989276139409,-0.990147385422976,-1.0493762006290768
6,acoustic_instrument_samples/Nylon_Guitar.wav,-1.0,-1.0,-0.990147385422976,-1.0493762006290768
7,acoustic_instrument_samples/acoustic_grand_piano.wav,-0.5282051282051283,-0.5388739946380695,-0.7972339995962044,-0.7836228916425658
8,acoustic_instrument_samples/acoustic_guitar.wav,-0.676923076923077,-0.7158176943699732,-0.990147385422976,-1.0490384412404214
9,acoustic_instrument_samples/bassoon_legato_group.wav,0.6205128205128203,0.576407506702413,0.9258429234807185,0.8892993603681579
10,acoustic_instrument_samples/bassoon_legato_solo.wav,0.5743589743589743,0.5281501340482575,0.8566121542499495,0.8169133013869246
11,acoustic_instrument_samples/bassoon_staccato_group.wav,-0.5230769230769231,-0.6461126005361931,-0.7895416919038967,-0.9444808004897514
12,acoustic_instrument_samples/bassoon_staccato_solo.wav,-0.6307692307692307,-0.742627345844504,-0.9510801534423582,-1.0493762006290768
13,acoustic_instrument_samples/cello_legato_group.wav,0.8153846153846153,0.6890080428954425,1.009852614577024,0.9506237993709232
14,acoustic_instrument_samples/cello_pizziccato_group.wav,-0.2102564102564103,-0.23860589812332428,-0.3203109226731274,-0.333220746870448
15,acoustic_instrument_samples/cello_staccato_group.wav,0.14871794871794866,-0.03485254691688994,0.218150615788411,-0.027590720060796523
16,acoustic_instrument_samples/clarinet_legato_group.wav,0.3025641025641025,0.32975871313672933,0.4489198465576418,0.5193261700196323
17,acoustic_instrument_samples/clarinet_legato_solo.wav,0.4564102564102564,0.383378016085791,0.6796890773268727,0.5997551244432249
18,acoustic_instrument_samples/clarinet_staccato_group.wav,-0.36923076923076925,-0.43699731903485245,-0.5587724611346658,-0.6308078782377403
19,acoustic_instrument_samples/clarinet_staccato_solo.wav,-0.7025641025641025,-0.839142091152815,-0.990147385422976,-1.0493762006290768
20,acoustic_instrument_samples/dizi.wav,0.09230769230769229,0.222520107238606,0.13353523117302643,0.35846826117244734
21,acoustic_instrument_samples/double_bass_pizziccato_group.wav,-0.08205128205128209,-0.3136729222520106,-0.12800323036543515,-0.4458212830634775
22,acoustic_instrument_samples/double_bass_solo.wav,-0.5384615384615384,-0.7050938337801607,-0.8126186149808197,-1.0329526503557025
23,acoustic_instrument_samples/electric_bass.wav,0.041025641025641005,-0.31903485254691677,0.05661215424994952,-0.45386417850583677
24,acoustic_instrument_samples/erhu.wav,0.5076923076923077,0.5924932975871314,0.7566121542499495,0.9134280466952356
25,acoustic_instrument_samples/flute_legato_group.wav,-0.15897435897435902,-0.1045576407506701,-0.2433878457500505,-0.13214836081146678
26,acoustic_instrument_samples/flute_legato_solo.wav,-0.36923076923076925,-0.388739946380697,-0.5587724611346658,-0.5584218192565071
27,acoustic_instrument_samples/flute_staccato_group.wav,-0.45128205128205123,-0.4477211796246648,-0.6818493842115888,-0.6468936691224588
28,acoustic_instrument_samples/flute_staccato_solo.wav,-0.676923076923077,-0.6300268096514744,-0.990147385422976,-0.9203521141626732
29,acoustic_instrument_samples/french_horn_legato_group.wav,0.9999999999999999,1.0,1.009852614577024,0.9506237993709232
30,acoustic_instrument_samples/french_horn_legato_solo.wav,0.20512820512820507,0.20643431635388745,0.3027660004037956,0.3343395748453695
31,acoustic_instrument_samples/french_horn_staccato_group.wav,-0.14871794871794874,-0.07238605898123314,-0.2280032303654351,-0.08389098815731133
32,acoustic_instrument_samples/french_horn_staccato_solo.wav,-0.41538461538461535,-0.5495978552278818,-0.6280032303654349,-0.7997086825272843
33,acoustic_instrument_samples/guzheng.wav,-0.45641025641025645,-0.49597855227882026,-0.6895416919038966,-0.719279728103692
34,acoustic_instrument_samples/koto.wav,-0.6820512820512821,-0.742627345844504,-0.990147385422976,-1.0493762006290768
35,acoustic_instrument_samples/lute.wav,-0.8461538461538461,-0.8498659517426274,-0.990147385422976,-1.0493762006290768
36,acoustic_instrument_samples/oboe_legato_group.wav,0.4923076923076923,0.5227882037533513,0.7335352311730264,0.8088704059445654
37,acoustic_instrument_samples/oboe_staccato_group.wav,-0.4205128205128206,-0.5013404825737265,-0.6356955380577428,-0.7273226235460515
38,acoustic_instrument_samples/organ.wav,0.641025641025641,0.6890080428954425,0.9566121542499494,0.9506237993709232
39,acoustic_instrument_samples/piccolo_legato_group.wav,-0.08717948717948723,-0.1260053619302948,-0.13569553805774284,-0.1643199425809038
40,acoustic_instrument_samples/piccolo_staccato_group.wav,-0.5076923076923078,-0.49061662198391415,-0.7664647688269737,-0.7112368326613329
41,acoustic_instrument_samples/pipa.wav,-0.7128205128205131,-0.7747989276139409,-0.990147385422976,-1.0493762006290768
42,acoustic_instrument_samples/shakuhachi.wav,0.03589743589743587,-0.050938337801608446,0.04891984655764181,-0.051719406387874284
